0.00, 4, white, Entry
0.00, 4, white, Entry
0.00, 4, white, Entry
0.00, 4, white, Entry
0.00, 4, white, Entry
0.00, 4, white, Entry
0.00, 2, white, Entry
0.00, 2, white, Entry
0.00, 2, white, Entry
0.00, 2, white, Entry
0.00, 2, white, Entry
0.00, 2, white, Entry
0.00, 2, white, Entry
0.00, 2, white, Entry
0.00, 2, white, Entry
0.00, 2, white, Entry
0.00, 2, white, Entry
0.00, 2, white, Entry
0.00, 2, white, Entry
0.00, 2, white, Entry
0.00, 2, white, Entry
0.00, 2, white, Entry
0.00, 2, white, Entry
0.00, 2, white, Entry
0.00, 2, white, Entry
0.00, 2, white, Entry
0.00, 2, white, Entry
0.03, 1, white, Entry
0.07, 1, white, Exit
0.07, 2, white, Entry
0.07, 2, white, Entry
0.10, 2, white, Entry
0.13, 2, white, Entry
0.17, 2, white, Entry
0.20, 2, white, Entry
0.23, 2, white, Entry
0.27, 2, white, Entry
0.30, 1, white, Entry
0.33, 2, white, Entry
0.37, 2, white, Entry
0.40, 2, white, Entry
0.43, 1, white, Exit
0.43, 2, white, Entry
0.43, 2, white, Entry
0.47, 2, white, Entry
0.50, 2, white, Entry
0.53, 2, white, Entry
0.57, 2, white, Entry
0.60, 2, white, Entry
0.63, 2, white, Entry
0.67, 2, white, Entry
0.70, 2, white, Entry
0.73, 2, white, Entry
0.77, 1, white, Entry
0.80, 2, white, Entry
0.83, 1, white, Entry
0.87, 2, white, Entry
0.90, 2, white, Entry
0.93, 1, white, Exit
0.93, 2, white, Entry
0.93, 2, white, Entry
0.97, 1, white, Entry
1.00, 4, white, Exit
1.00, 2, white, Entry
1.00, 2, white, Entry
1.03, 1, white, Entry
1.07, 2, white, Entry
1.10, 2, white, Entry
1.13, 2, white, Entry
1.16, 2, white, Entry
1.20, 2, white, Entry
1.23, 2, white, Entry
1.26, 2, white, Entry
1.30, 1, white, Entry
1.33, 1, white, Entry
1.36, 2, white, Entry
1.40, 1, white, Entry
1.43, 2, white, Entry
1.46, 2, white, Entry
1.50, 2, white, Entry
1.53, 1, white, Exit
1.53, 2, white, Entry
1.53, 2, white, Entry
1.56, 2, white, Entry
1.60, 1, white, Entry
1.63, 2, white, Entry
1.66, 2, white, Entry
1.70, 4, white, Exit
1.70, 2, white, Entry
1.70, 2, white, Entry
1.73, 1, white, Entry
1.76, 2, white, Entry
1.80, 2, white, Entry
1.83, 2, white, Entry
1.86, 2, white, Entry
1.90, 1, white, Entry
1.93, 2, white, Entry
1.96, 2, white, Entry
2.00, 4, orange, Entry
2.03, 4, orange, Entry
2.06, 2, white, Exit
2.06, 4, white, Entry
2.06, 1, white, Entry
2.10, 1, white, Exit
2.10, 2, white, Entry
2.10, 2, orange, Entry
2.13, 2, orange, Entry
2.16, 2, white, Entry
2.20, 2, orange, Entry
2.23, 2, white, Entry
2.26, 4, orange, Entry
2.30, 2, white, Entry
2.33, 1, white, Entry
2.36, 4, orange, Entry
2.40, 2, white, Entry
2.43, 2, white, Entry
2.46, 2, white, Entry
2.50, 2, white, Entry
2.53, 1, white, Entry
2.56, 2, white, Entry
2.60, 2, white, Entry
2.63, 2, white, Entry
2.66, 4, orange, Entry
2.70, 2, white, Entry
2.73, 4, orange, Entry
2.76, 2, white, Entry
2.80, 1, white, Entry
2.83, 1, white, Exit
2.83, 2, white, Entry
2.83, 4, white, Entry
2.86, 4, white, Entry
2.90, 2, white, Exit
2.90, 1, white, Entry
2.90, 3, white, Entry
2.93, 1, white, Exit
2.93, 2, white, Entry
2.93, 3, white, Entry
2.96, 1, white, Entry
3.00, 2, white, Entry
3.03, 4, white, Entry
3.06, 3, white, Exit
3.06, 4, white, Entry
3.06, 3, white, Entry
3.10, 1, white, Entry
3.13, 4, white, Entry
3.16, 2, white, Entry
3.20, 3, white, Exit
3.20, 1, white, Entry
3.20, 2, white, Entry
3.23, 2, white, Entry
3.26, 2, white, Exit
3.26, 4, white, Entry
3.26, 2, white, Entry
3.30, 2, white, Entry
3.33, 1, white, Entry
3.36, 2, white, Entry
3.40, 2, white, Entry
3.43, 1, white, Entry
3.46, 2, white, Entry
3.49, 2, white, Entry
3.53, 1, white, Entry
3.56, 2, white, Exit
3.56, 4, white, Entry
3.56, 1, white, Entry
3.59, 2, white, Entry
3.63, 2, white, Entry
3.66, 1, white, Entry
3.69, 2, white, Entry
3.73, 1, white, Entry
3.76, 2, white, Entry
3.79, 1, white, Entry
3.83, 2, white, Entry
3.86, 1, white, Entry
3.89, 2, white, Entry
3.93, 1, white, Entry
3.96, 1, white, Entry
3.99, 2, white, Entry
4.03, 2, white, Entry
4.06, 2, white, Entry
4.09, 2, white, Entry
4.13, 1, white, Entry
4.16, 2, white, Entry
4.19, 2, white, Entry
4.23, 2, white, Entry
4.26, 2, white, Exit
4.26, 4, white, Entry
4.26, 1, white, Entry
4.29, 1, white, Entry
4.33, 4, orange, Entry
4.36, 4, orange, Entry
4.39, 4, orange, Entry
4.43, 4, orange, Entry
4.46, 4, orange, Entry
4.49, 2, white, Entry
4.53, 4, orange, Entry
4.56, 2, white, Entry
4.59, 1, white, Entry
4.63, 1, white, Entry
4.66, 4, orange, Entry
4.69, 2, white, Entry
4.73, 2, white, Entry
4.76, 2, white, Entry
4.79, 2, white, Exit
4.79, 4, white, Entry
4.79, 2, white, Entry
4.83, 2, white, Entry
4.86, 2, white, Entry
4.89, 2, white, Entry
4.93, 4, orange, Entry
4.96, 1, white, Entry
4.99, 4, orange, Entry
5.03, 4, white, Entry
5.06, 4, orange, Entry
5.09, 1, white, Entry
5.13, 2, white, Entry
5.16, 2, white, Entry
5.19, 4, orange, Entry
5.26, 4, orange, Entry
5.29, 4, orange, Entry
5.33, 4, orange, Entry
5.36, 2, white, Entry
5.39, 2, white, Entry
5.43, 4, orange, Entry
5.46, 2, white, Entry
5.49, 1, white, Entry
5.53, 2, white, Exit
5.53, 4, white, Entry
5.53, 4, orange, Entry
5.56, 4, white, Entry
5.59, 2, white, Entry
5.63, 2, white, Entry
5.66, 2, white, Entry
5.69, 2, white, Entry
5.73, 4, white, Exit
5.73, 2, white, Entry
5.73, 1, white, Exit
5.73, 4, white, Entry
5.73, 1, white, Entry
5.76, 2, white, Exit
5.76, 4, white, Entry
5.76, 1, white, Entry
5.79, 2, white, Entry
5.82, 4, orange, Entry
5.86, 2, white, Entry
5.89, 1, white, Entry
5.92, 2, white, Entry
5.96, 1, white, Entry
5.99, 1, white, Entry
6.02, 2, white, Entry
6.06, 2, white, Entry
6.09, 1, white, Entry
6.12, 2, white, Entry
6.16, 1, white, Entry
6.19, 2, white, Entry
6.22, 1, white, Entry
6.26, 1, white, Entry
6.29, 2, white, Entry
6.32, 2, white, Entry
6.36, 2, white, Entry
6.39, 2, white, Entry
6.42, 1, white, Entry
6.46, 1, white, Entry
6.49, 2, white, Entry
6.52, 2, white, Entry
6.56, 2, white, Entry
6.59, 1, white, Entry
6.62, 2, white, Entry
6.66, 2, white, Entry
6.69, 1, white, Entry
6.72, 2, white, Entry
6.76, 2, white, Entry
6.79, 2, white, Entry
6.82, 1, white, Entry
6.86, 2, white, Entry
6.89, 2, white, Entry
6.92, 2, white, Exit
6.92, 4, white, Entry
6.92, 2, white, Entry
6.96, 2, white, Entry
6.99, 1, white, Entry
7.02, 2, white, Entry
7.06, 2, white, Entry
7.09, 1, white, Entry
7.12, 1, white, Entry
7.16, 2, white, Entry
7.19, 2, white, Entry
7.22, 2, white, Entry
7.26, 1, white, Entry
7.29, 2, white, Entry
7.32, 2, white, Entry
7.36, 2, white, Entry
7.39, 2, white, Entry
7.42, 1, white, Entry
7.46, 2, white, Entry
7.49, 2, white, Entry
7.52, 1, white, Entry
7.56, 2, white, Entry
7.59, 1, white, Entry
7.62, 1, white, Entry
7.66, 1, white, Entry
7.69, 2, white, Entry
7.72, 1, white, Exit
7.72, 2, white, Entry
7.72, 2, white, Entry
7.76, 2, white, Entry
7.79, 2, white, Entry
7.82, 1, white, Entry
7.86, 2, white, Entry
7.89, 2, white, Entry
7.92, 1, white, Entry
7.96, 2, white, Entry
7.99, 1, white, Entry
8.02, 2, white, Entry
8.06, 2, white, Entry
8.09, 1, white, Entry
8.12, 1, white, Exit
8.12, 2, white, Entry
8.12, 2, white, Entry
8.15, 1, white, Entry
8.19, 2, white, Entry
8.22, 2, white, Entry
8.25, 2, white, Entry
8.29, 2, white, Entry
8.32, 2, white, Entry
8.35, 2, white, Entry
8.39, 1, white, Entry
8.42, 2, white, Entry
8.45, 2, white, Entry
8.49, 1, white, Entry
8.52, 2, white, Entry
8.55, 2, white, Entry
8.59, 2, white, Entry
8.62, 2, white, Entry
8.65, 1, white, Entry
8.69, 2, white, Entry
8.72, 1, white, Entry
8.75, 2, white, Entry
8.79, 2, white, Entry
8.82, 1, white, Entry
8.85, 2, white, Entry
8.89, 1, white, Exit
8.89, 2, white, Entry
8.89, 2, white, Entry
8.92, 2, white, Entry
8.95, 1, white, Entry
8.99, 1, white, Entry
9.02, 2, white, Entry
9.05, 1, white, Entry
9.09, 2, white, Entry
9.12, 2, white, Entry
9.15, 2, white, Entry
9.19, 2, white, Entry
9.22, 4, orange, Entry
9.25, 4, green, Exit
9.25, 2, green, Entry
9.25, 1, white, Entry
9.29, 4, green, Exit
9.29, 2, green, Entry
9.29, 1, white, Entry
9.32, 2, white, Entry
9.35, 2, orange, Entry
9.39, 1, white, Entry
9.42, 1, white, Exit
9.42, 2, white, Entry
9.42, 2, white, Entry
9.45, 2, white, Entry
9.49, 2, white, Entry
9.52, 1, white, Entry
9.55, 2, white, Entry
9.59, 2, white, Entry
9.62, 4, white, Entry
9.65, 2, white, Entry
9.69, 2, white, Entry
9.72, 2, white, Entry
9.75, 1, white, Entry
9.79, 2, white, Entry
9.82, 2, white, Entry
9.85, 2, white, Entry
9.89, 2, white, Entry
9.92, 2, orange, Entry
9.95, 2, white, Entry
9.99, 2, white, Entry
10.02, 2, white, Entry
10.05, 2, white, Entry
10.09, 2, white, Exit
10.09, 4, white, Entry
10.09, 2, white, Entry
10.12, 1, white, Entry
10.15, 4, white, Entry
10.19, 4, white, Entry
10.22, 2, white, Entry
10.25, 4, white, Entry
10.29, 4, white, Entry
10.32, 2, white, Exit
10.32, 1, white, Entry
10.32, 2, white, Entry
10.35, 1, white, Entry
10.38, 2, white, Entry
10.42, 1, white, Entry
10.45, 2, white, Entry
10.48, 2, white, Entry
10.52, 2, white, Entry
10.55, 2, white, Entry
10.58, 2, white, Exit
10.58, 1, white, Entry
10.58, 2, white, Entry
10.62, 1, white, Entry
10.65, 4, white, Exit
10.65, 2, white, Entry
10.65, 1, white, Exit
10.65, 2, white, Entry
10.65, 2, white, Entry
10.68, 1, white, Entry
10.72, 2, white, Exit
10.72, 1, white, Entry
10.72, 2, white, Entry
10.75, 2, white, Entry
10.78, 2, white, Exit
10.78, 1, white, Entry
10.78, 2, white, Entry
10.82, 2, white, Entry
10.85, 2, white, Entry
10.88, 1, white, Entry
10.92, 2, white, Entry
10.95, 2, white, Entry
10.98, 2, white, Exit
10.98, 1, white, Entry
10.98, 1, white, Entry
11.02, 2, white, Entry
11.05, 2, white, Entry
11.08, 2, white, Entry
11.12, 2, white, Entry
11.15, 2, white, Entry
11.18, 2, white, Entry
11.22, 1, white, Entry
11.25, 2, white, Exit
11.25, 1, white, Entry
11.25, 2, white, Entry
11.28, 2, white, Entry
11.32, 2, white, Entry
11.35, 1, white, Entry
11.38, 1, white, Entry
11.42, 2, white, Entry
11.45, 2, white, Entry
11.48, 2, white, Entry
11.52, 2, white, Entry
11.55, 1, white, Entry
11.58, 2, white, Exit
11.58, 4, white, Entry
11.58, 2, white, Entry
11.62, 2, white, Exit
11.62, 1, white, Entry
11.62, 2, white, Entry
11.65, 2, white, Entry
11.68, 2, white, Entry
11.72, 2, white, Entry
11.75, 2, white, Entry
11.78, 1, white, Entry
11.82, 1, white, Entry
11.85, 1, white, Entry
11.88, 1, white, Exit
11.88, 2, white, Entry
11.88, 2, white, Entry
11.92, 2, white, Entry
11.95, 2, white, Entry
11.98, 2, white, Entry
12.02, 4, orange, Entry
12.05, 4, orange, Entry
12.08, 1, white, Entry
12.12, 2, white, Entry
12.15, 2, white, Entry
12.18, 2, white, Entry
12.22, 2, white, Entry
12.25, 4, orange, Entry
12.28, 2, white, Entry
12.32, 2, white, Entry
12.35, 4, orange, Entry
12.38, 4, orange, Entry
12.42, 2, white, Entry
12.45, 2, white, Entry
12.48, 2, white, Entry
12.52, 2, white, Entry
12.55, 4, orange, Entry
12.58, 1, white, Entry
12.62, 2, white, Entry
12.65, 2, white, Entry
12.68, 2, white, Entry
12.71, 2, white, Entry
12.75, 2, white, Entry
12.78, 4, orange, Entry
12.81, 4, orange, Entry
12.85, 1, white, Entry
12.88, 2, white, Entry
12.91, 1, white, Entry
12.95, 4, orange, Entry
12.98, 4, orange, Entry
13.01, 4, white, Entry
13.05, 2, white, Entry
13.08, 2, white, Entry
13.11, 4, orange, Entry
13.15, 2, white, Entry
13.18, 4, white, Exit
13.18, 2, white, Entry
13.18, 4, orange, Entry
13.21, 4, orange, Entry
13.25, 4, orange, Entry
13.28, 4, orange, Entry
13.31, 2, white, Entry
13.35, 2, white, Entry
13.38, 2, white, Entry
13.41, 2, white, Entry
13.45, 2, white, Entry
13.48, 4, white, Entry
13.51, 4, orange, Entry
13.55, 2, white, Entry
13.58, 4, white, Entry
13.61, 2, white, Entry
13.65, 2, white, Entry
13.68, 2, white, Entry
13.71, 2, white, Exit
13.71, 1, white, Entry
13.71, 2, white, Entry
13.75, 2, white, Entry
13.78, 1, white, Entry
13.81, 2, white, Entry
13.85, 1, white, Entry
13.88, 2, white, Entry
13.91, 2, white, Entry
13.95, 1, white, Entry
13.98, 2, white, Entry
14.01, 2, white, Entry
14.05, 2, white, Entry
14.08, 2, white, Entry
14.11, 2, white, Exit
14.11, 1, white, Entry
14.11, 1, white, Entry
14.15, 2, white, Entry
14.18, 4, orange, Entry
14.21, 2, white, Entry
14.25, 4, orange, Entry
14.28, 2, white, Entry
14.31, 2, white, Entry
14.35, 2, white, Exit
14.35, 1, white, Entry
14.35, 4, orange, Entry
14.38, 2, white, Entry
14.41, 2, white, Entry
14.45, 2, white, Entry
14.48, 2, white, Entry
